start,end,shop,pos,equipment,reason,job,duration,note
2019-02-01 08:15:00,2019-02-01 08:25:00,ЦЛП R250,,Участок приема досок пиления и сортировки 1,,обход.,0.17,"Обход производил:
 механик Сбродов Д.А.
слесарь Острожинский А.В. неисправностей не выявлено"
2019-02-02 08:00:00,2019-02-02 09:30:00,ЦЛП R250,370,Скребковый конвейер,,Снятие,1.5,панели транспортера
2019-02-02 08:00:00,2019-02-02 09:30:00,ЦЛП R250,370,Скребковый конвейер,,извлечение,1.5,обломков бревна
2019-02-04 08:15:00,2019-02-04 08:25:00,ЦЛП R250,,Конвейеры для реек и буксов; распаковка пакетов,,обход.,0.17,"Обход производил:
 механик Сбродов Д.А.
слесарь Щепкин В.А. неисправностей не выявлено"
2019-02-05 08:15:00,2019-02-05 08:25:00,ЦЛП R250,,Участок подачи бревен,,47˚С,0.17,"Обход производил:
 механик Сбродов Д.А.
слесарь Острожинский А.В. поз.030 - повышенный шум в работе редуктора сбрасывателя поз.070 - повышенный шум в работе редуктора поворота бревна"
2019-02-21 08:50:00,2019-02-21 09:15:00,ЛСБ,5,Питатель с механизмом сброса 2,,механизм,0.42,сброса
2019-02-21 08:50:00,2019-02-21 09:15:00,ЛСБ,5,Питатель с механизмом сброса 2,,сварочные работы,0.42,работы
2019-02-22 08:00:00,2019-02-22 11:30:00,ЦТГ,490,Конвейер-элеватор,,замена,3.5,подшипниковых опор
2019-02-22 08:00:00,2019-02-22 11:30:00,ЦТГ,490,Конвейер-элеватор,,износ,3.5,шейки вала натяжного барабана
2019-02-23 14:00:00,2019-02-23 14:30:00,ЛСБ,7,"Транспортёр цепной, подачи брёвен 1",,отбойник,0.5,
2019-02-23 14:00:00,2019-02-23 14:30:00,ЛСБ,7,"Транспортёр цепной, подачи брёвен 1",,сварочные работы,0.5,работы
2019-02-24 15:20:00,2019-02-24 16:50:00,ЦЛП R250,440,Подвесное сито BK-SH 11/3,,установка,1.5,во время технологического простоя электродвигателя привода сита
2019-02-28 10:30:00,2019-02-28 10:50:00,ЦСС,18,Пакета-формирующая машина,,замена,0.33,болта крепления ограничителя доски
2019-03-02 08:00:00,2019-03-02 08:40:00,ЛСБ,1,Грузовой стол 1,,замена звена,0.67,приводной цепи
2019-03-03 18:00:00,2019-03-03 18:15:00,ЦЛП R250,1070,Автомат упаковки (обвязки) с установкой брусков под пакет,,установка,0.25,во время технологического простоя скользящей направляющей
2019-03-06 14:40:00,2019-03-06 15:20:00,ЛСБ,10,Транспортер ленточный подачи бревен,,регулировка,0.67,транспортерной ленты
2019-03-09 13:10:00,2019-03-09 13:40:00,ЛСБ,1,Грузовой стол 1,,замена звена,0.5,тяговой цепи
2019-03-10 08:40:00,2019-03-10 09:20:00,ЛСБ,4,Грузовой стол 2,,замена звена,0.67,тяговой цепи
2019-03-11 14:35:00,2019-03-11 15:05:00,ЛСБ,4,Грузовой стол 2,,замена звена,0.5,приводной цепи
2019-03-12 15:45:00,2019-03-12 17:00:00,ЦСС,12,Транспортёр цепной отвода досок от накопителей 1,,установка,1.25,соединительной муфты
2019-03-12 15:45:00,2019-03-12 17:00:00,ЦСС,12,Транспортёр цепной отвода досок от накопителей 1,,замена,1.25,ведущего вала
2019-03-13 08:35:00,2019-03-13 09:15:00,ЛСБ,11,Лесотранспортёр с двусторонней сброской 1,,замена,0.67,РВД сбрасывателя 4 накопительного кармана
2019-03-16 18:00:00,2019-03-16 19:20:00,,,Кран ЛТ-62,,сварочные работы,1.33,работы
2019-03-16 18:00:00,2019-03-16 19:20:00,,,Кран ЛТ-62,,каретка,1.33,
2019-03-17 08:00:00,2019-03-17 14:30:00,,,Кран ЛТ-62,,реборда,6.5,
2019-03-17 08:00:00,2019-03-17 14:30:00,,,Кран ЛТ-62,,сварочные работы,6.5,работы
2019-03-18 11:30:00,2019-03-18 13:00:00,ЦЛП R250,,компрессор ВК 25-8,,замена,1.5,фильтров
2019-03-18 11:30:00,2019-03-18 13:00:00,ЦЛП R250,,компрессор ВК 25-8,,замена,1.5,масла
2019-03-19 08:15:00,2019-03-19 09:30:00,,,Кран ЛТ-62,,сварочные работы,1.25,работы грузового троса
2019-03-20 08:25:00,2019-03-20 09:10:00,,,Кран ЛТ-62,,сварочные работы,0.75,работы грузового троса
2019-03-23 12:00:00,2019-03-23 13:30:00,ЦЛП R250,730,Толкающий распределяющий конвейер,,изготовление,1.5,заходов на рычаги крепления датчиков
2019-03-24 10:00:00,2019-03-24 10:15:00,ЦЛП R250,600,Подъемный цепной конвейер,,перескочила,0.25,во время технологического простоя тяговая цепь
2019-03-26 09:25:00,2019-03-26 10:20:00,ЛСБ,12,Лесотранспортёр с двусторонней сброской 2,,замена,0.92,ролика
2019-03-26 09:25:00,2019-03-26 10:20:00,ЛСБ,12,Лесотранспортёр с двусторонней сброской 2,,замена,0.92,пальца ролика
2019-03-27 09:30:00,2019-03-27 09:50:00,ЛСБ,3,"Транспортёр отходов цепной, скребковый 1",,снятие,0.33,электродвигателя привода транспортера
2019-03-28 11:50:00,2019-03-28 12:05:00,ЦЛП R250,1020,Лифт для штабелей,,датчик,0.25,
2019-03-28 11:50:00,2019-03-28 12:05:00,ЦЛП R250,1020,Лифт для штабелей,,сварочные работы,0.25,работы
2019-03-29 12:00:00,2019-03-29 13:00:00,ЦЛП R250,780,Ступенчатый подаватель,,отбойник,1.0,во время технологического простоя 
2019-03-29 12:00:00,2019-03-29 13:00:00,ЦЛП R250,780,Ступенчатый подаватель,,сварочные работы,1.0,во время технологического простоя работы
2019-03-31 11:55:00,2019-03-31 13:10:00,ЦЛП R250,600,Подъемный цепной конвейер,,замена звена,1.25,тяговой цепи
2019-04-02 08:00:00,2019-04-02 14:10:00,ЦТГ,340,Шнековый конвейер,,снятие,6.17,требутся замена подшипников подшипников шнека
2019-04-03 08:00:00,2019-04-03 09:15:00,ЛСБ,12,Лесотранспортёр с двусторонней сброской 2,,замена,1.25,ролика
2019-04-05 16:00:00,2019-04-05 16:30:00,ЛСБ,7,"Транспортёр цепной, подачи брёвен 1",,сход,0.5,тяговой цепи
2019-04-06 14:00:00,2019-04-06 14:40:00,ЛСБ,12,Лесотранспортёр с двусторонней сброской 2,,сход,0.67,тяговой цепи. Замена скользящей направляющей
2019-04-07 06:30:00,2019-04-07 06:50:00,ЦЛП R250,810,Цепные направляющие,,замена,0.33,болтов крепления скользящей направляющей
2019-04-08 08:00:00,2019-04-08 08:40:00,ЛСБ,7,"Транспортёр цепной, подачи брёвен 1",,натяжка,0.67,приводной цепи
2019-04-10 09:45:00,2019-04-10 10:15:00,ЦЛП R250,890,Кассеты для прокладок,,замена,0.5,направляющей
2019-04-11 11:00:00,2019-04-11 11:40:00,ЦСС,12,Транспортёр цепной отвода досок от накопителей 1,,сварочные работы,0.67,работы
2019-04-13 17:20:00,2019-04-13 17:50:00,ЦЛП R250,1070,Автомат упаковки (обвязки) с установкой брусков под пакет,,замена,0.5,болта крепления скользящей направляющей
2019-04-14 20:45:00,2019-04-14 21:15:00,ЦСС,,накопительный карман №7,,замена звена,0.5,"требуется ремонт цепи
требуется выравнивание подвижной рамы тяговой цепи"
2019-04-15 11:00:00,2019-04-15 11:50:00,ЦТГ,130,"Склад опилок ""Движущийся пол""",,сварочные работы,0.83,работы подвижной рамы
2019-04-16 08:00:00,2019-04-16 09:00:00,,,HUNDAI,,захват,1.0,
2019-04-16 08:00:00,2019-04-16 09:00:00,,,HUNDAI,,сварочные работы,1.0,работы
2019-04-18 10:00:00,2019-04-18 11:40:00,ЛСБ,6,"Транспортёр отходов цепной, скребковый 2",,выравнивание,1.67,скребка
2019-04-18 10:00:00,2019-04-18 11:40:00,ЛСБ,6,"Транспортёр отходов цепной, скребковый 2",,сварочные работы,1.67,работы
2019-04-19 13:00:00,2019-04-19 15:30:00,ЦТГ,130,"Склад опилок ""Движущийся пол""",,сварочные работы,2.5,работы
2019-04-22 10:00:00,2019-04-22 10:15:00,ЦЛП R250,100,Цепной конвейер для бревен,,протяжка,0.25,болтов крепления подшипниковых опор
2019-04-23 09:30:00,2019-04-23 11:20:00,ЦЛП R250,70,Устройство для разворота брёвен,,сварочные работы,1.83,работы
2019-04-27 08:30:00,2019-04-27 09:00:00,ЦСС,2,"Лифт-подъёмник, порядный разделитель пакетов",,протяжка,0.5,болтов крепления подшипниковых опор
2019-04-29 07:00:00,2019-04-29 07:30:00,ЦЛП R250,1100,Цепные направляющие,,замена,0.5,натяжных шпилек
2019-04-30 09:20:00,2019-04-30 10:25:00,ЛСБ,7,"Транспортёр цепной, подачи брёвен 1",,замена звена,1.08,тяговой цепи
2019-05-01 21:10:00,2019-05-01 21:55:00,ЛСБ,4,Грузовой стол 2,,замена звена,0.75,приводной цепи
2019-05-02 08:00:00,2019-05-02 20:00:00,ЦТГ,050,Мультициклон,,выравнивание,12.0,контура
2019-05-03 08:00:00,2019-05-03 20:00:00,ЦТГ,050,Мультициклон,,выравнивание,12.0,деформация конструкций контура
2019-05-03 08:00:00,2019-05-03 20:00:00,ЦТГ,050,Мультициклон,,выравнивание,12.0,деформация конструкций ячеек
2019-05-04 10:00:00,2019-05-04 10:15:00,ЦЛП R250,270,Центральный узел смазывания,,замена,0.25,емкости
2019-05-05 13:20:00,2019-05-05 13:50:00,ЛСБ,11,Лесотранспортёр с двусторонней сброской 1,,2шт.,0.5,
2019-05-06 09:00:00,2019-05-06 09:20:00,ЛСБ,4,Грузовой стол 2,,сварочные работы,0.33,работы
2019-05-08 23:00:00,2019-05-08 23:25:00,ЛСБ,5,Питатель с механизмом сброса 2,,замена звена,0.42,тяговой цепи
2019-05-09 12:00:00,2019-05-09 13:00:00,ЦЛП R250,100,Цепной конвейер для бревен,,замена,1.0,направляющей тяговой цепи
2019-05-12 16:30:00,2019-05-12 17:10:00,ЦЛП R250,1070,Автомат упаковки (обвязки) с установкой брусков под пакет,,регулировка,0.67,направляющих роликов
2019-05-13 15:20:00,2019-05-13 15:30:00,ЛСБ,1,Грузовой стол 1,,натяжка,0.17,приводной цепи
2019-05-14 19:10:00,2019-05-14 19:20:00,ЦЛП R250,610,Конвейер с поворачивающимися катками вместе с движущимся ленточным упором,,регулировка,0.17,во время работы ленты
2019-05-15 10:00:00,2019-05-15 10:15:00,ЦЛП R250,240,Трёх „этажный” разделительный транспортёр HewSaw EK1,,направляющая,0.25,во время технологического простоя 
2019-05-15 10:00:00,2019-05-15 10:15:00,ЦЛП R250,240,Трёх „этажный” разделительный транспортёр HewSaw EK1,,сварочные работы,0.25,во время технологического простоя работы
2019-05-19 13:50:00,2019-05-19 15:10:00,ЛСБ,12,Лесотранспортёр с двусторонней сброской 2,,снятие,1.33,сбрасывателя
2019-05-20 14:00:00,2019-05-20 15:25:00,ЛСБ,4,Грузовой стол 2,,протяжка,1.42,подшипниковых опор
2019-05-20 14:00:00,2019-05-20 15:25:00,ЛСБ,4,Грузовой стол 2,,сварочные работы,1.42,работы приводной звездочки
2019-05-21 15:20:00,2019-05-21 15:30:00,ЛСБ,10,Транспортер ленточный подачи бревен,,натяжка,0.17,приводной цепи
2019-05-23 17:00:00,2019-05-23 18:45:00,ЛСБ,7,"Транспортёр цепной, подачи брёвен 1",,сварочные работы,1.75,работы
2019-05-24 16:40:00,2019-05-24 17:00:00,ЦСС,,накопительный карман №10,,деформация,0.33,установили на бруски подвижной рамы
2019-05-24 16:40:00,2019-05-24 17:00:00,ЦСС,,накопительный карман №10,,замена звена,0.33,установили на бруски тяговой цепи
2019-05-25 15:00:00,2019-05-25 15:30:00,ЦСС,,накопительный карман №7,,деформация,0.5,установили на бруски подвижной рамы
2019-05-25 15:00:00,2019-05-25 15:30:00,ЦСС,,накопительный карман №7,,замена звена,0.5,установили на бруски тяговой цепи
2019-05-26 10:45:00,2019-05-26 11:25:00,ЦСС,2,"Лифт-подъёмник, порядный разделитель пакетов",,замена звена,0.67,тяговой цепи
2019-05-30 03:30:00,2019-05-30 04:30:00,ЦСС,18,Пакета-формирующая машина,,замена,1.0,натяжителя тяговой цепи
2019-06-01 22:00:00,2019-06-01 22:15:00,ЦСС,11,Транспортёр цепной отвода доски в накопители,,сварочные работы,0.25,работы
2019-06-01 22:00:00,2019-06-01 22:15:00,ЦСС,11,Транспортёр цепной отвода доски в накопители,,сбрасыватель,0.25,5-го накопительного кармана
2019-06-03 16:10:00,2019-06-03 16:35:00,ЦЛП R250,820,Подаватель досок PLC TongLoader,,замена,0.42,износ ролика опорного ролика
2019-06-04 13:00:00,2019-06-04 13:25:00,ЦСС,2,"Лифт-подъёмник, порядный разделитель пакетов",,сварочные работы,0.42,работы
2019-06-04 13:00:00,2019-06-04 13:25:00,ЦСС,2,"Лифт-подъёмник, порядный разделитель пакетов",,ограничитель,0.42,доски
2019-06-05 21:50:00,2019-06-05 22:00:00,ЦСС,4,Транспортёр цепной поштучной подачи доски 1,,сход,0.17,тяговой цепи
2019-06-07 13:00:00,2019-06-07 13:30:00,ЦСС,14,"Транспортёр цепной, наклонный подачи доски на разобщитель досок",,замена звена,0.5,тяговой цепи
2019-06-08 08:00:00,2019-06-08 11:30:00,ЦТГ,240,Молотковая мельница CPM MAGNUM 54x30,,установка,3.5,электродвигателя привода мельницы
2019-06-10 12:00:00,2019-06-10 12:30:00,ЦЛП R250,890,Кассеты для прокладок,,выравниватель,0.5,переставили с дальнего выравнивателя доски
2019-06-10 12:00:00,2019-06-10 12:30:00,ЦЛП R250,890,Кассеты для прокладок,,замена,0.5,переставили с дальнего выравнивателя каретки линейной направляющей
2019-06-11 06:40:00,2019-06-11 09:20:00,ЦСС,2,"Лифт-подъёмник, порядный разделитель пакетов",,замена звена,2.67,тяговой цепи
2019-06-13 12:00:00,2019-06-13 12:15:00,ЦЛП R250,880,Штабеле-формирующее устройство,,Регулировка,0.25,вил
2019-06-15 21:10:00,2019-06-15 21:30:00,ЦСС,4,Транспортёр цепной поштучной подачи доски 1,,сход,0.33,тяговой цепи
2019-06-16 12:00:00,2019-06-16 12:50:00,ЦЛП R250,680,Торцовочный узел пиломатериалов,,установка,0.83,проставок под крепление двигателей
2019-06-16 12:00:00,2019-06-16 12:50:00,ЦЛП R250,680,Торцовочный узел пиломатериалов,,сварочные работы,0.83,работы направляющей доски
2019-06-17 10:15:00,2019-06-17 10:25:00,ЦСС,14,"Транспортёр цепной, наклонный подачи доски на разобщитель досок",,сход,0.17,тяговой цепи
2019-06-18 08:00:00,2019-06-18 11:35:00,ЛСБ,6,"Транспортёр отходов цепной, скребковый 2",,замена,3.58,работа производилась первым грузовым столом 7-ми звеньев тяговой цепи
2019-06-26 14:10:00,2019-06-26 14:25:00,ЦСС,2,"Лифт-подъёмник, порядный разделитель пакетов",,сварочные работы,0.25,работы
2019-06-26 14:10:00,2019-06-26 14:25:00,ЦСС,2,"Лифт-подъёмник, порядный разделитель пакетов",,крепление,0.25,концевика
2019-06-27 10:00:00,2019-06-27 10:15:00,ЦЛП R250,1040,Ленточный конвейер,,сварочные работы,0.25,во время технологического простоя работы
2019-06-27 10:00:00,2019-06-27 10:15:00,ЦЛП R250,1040,Ленточный конвейер,,панель,0.25,во время технологического простоя транспортера
2019-06-28 16:10:00,2019-06-28 16:35:00,ЛСБ,7,"Транспортёр цепной, подачи брёвен 1",,установка,0.42,скользящей направляющей
2019-06-29 08:30:00,2019-06-29 08:40:00,ЛСБ,9,"Транспортёр цепной, подачи брёвен 2",,замена звена,0.17,тяговой цепи
2019-06-30 13:00:00,2019-06-30 14:00:00,ЦСС,13,Транспортёр цепной отвода доски от накопителей 2,,сварочные работы,1.0,работы крепления подшипниковой опоры
2019-06-30 13:00:00,2019-06-30 14:00:00,ЦСС,13,Транспортёр цепной отвода доски от накопителей 2,,замена звена,1.0,цепи соединительной муфты ведущего вала
2019-07-01 08:00:00,2019-07-01 15:00:00,ЦТГ,110,Крутящийся шибер,,чистка,7.0,ведомого барабана
2019-07-02 08:20:00,2019-07-02 09:00:00,ЛСБ,12,Лесотранспортёр с двусторонней сброской 2,,замена,0.67,гидроцилиндра
2019-07-03 09:00:00,2019-07-03 13:00:00,ЦЛП R250,1070,Автомат упаковки (обвязки) с установкой брусков под пакет,,закусило,4.0,во время технологического простоя упаковочную ленту
2019-07-04 02:55:00,2019-07-04 03:10:00,ЦЛП R250,1070,Автомат упаковки (обвязки) с установкой брусков под пакет,,замена,0.25,напрравляющей движения бруска
2019-07-06 08:00:00,2019-07-06 08:30:00,ЛСБ,4,Грузовой стол 2,,замена,0.5,приводной цепи
2019-07-07 08:30:00,2019-07-07 08:50:00,ЦСС,10,Транспортёр цепной поштучной подачи доски 2,,выравнивание,0.33,
2019-07-07 08:30:00,2019-07-07 08:50:00,ЦСС,10,Транспортёр цепной поштучной подачи доски 2,,смещение,0.33,приводной звездочки
2019-07-08 21:00:00,2019-07-08 21:20:00,ЦСС,18,Пакета-формирующая машина,,натяжка,0.33,приводной цепи
2019-07-09 09:00:00,2019-07-09 09:25:00,ЦТГ,330,Вентилятор,,замена,0.42,приводных ремней
2019-07-11 11:30:00,2019-07-11 11:45:00,ЛСБ,10,Транспортер ленточный подачи бревен,,замена,0.25,натяжного ролика
2019-07-12 08:30:00,2019-07-12 09:50:00,ЦТГ,140,Скребковый конвейер,,замена звена,1.33,тяговой цепи
2019-07-13 09:00:00,2019-07-13 10:00:00,ЛСБ,14,3 Маслостанция3 ЛТ-2,,замена,1.0,РВД
2019-07-14 11:00:00,2019-07-14 13:20:00,ЛСБ,6,"Транспортёр отходов цепной, скребковый 2",,замена звена,2.33,срезали скребок тяговой цепи
2019-07-15 08:00:00,2019-07-15 18:30:00,ЛСБ,6,"Транспортёр отходов цепной, скребковый 2",,установка,10.5,работа производилась первым грузовым столом 3-х скребков
2019-07-15 08:00:00,2019-07-15 18:30:00,ЛСБ,6,"Транспортёр отходов цепной, скребковый 2",,замена,10.5,работа производилась первым грузовым столом 8-ми звеньев тяговой цепи
2019-07-15 08:00:00,2019-07-15 18:30:00,ЛСБ,6,"Транспортёр отходов цепной, скребковый 2",,установка,10.5,работа производилась первым грузовым столом направляющей тяговой цепи
2019-07-15 08:00:00,2019-07-15 18:30:00,ЛСБ,6,"Транспортёр отходов цепной, скребковый 2",,выравнивание,10.5,работа производилась первым грузовым столом 
2019-07-17 20:50:00,2019-07-17 21:30:00,ЛСБ,12,Лесотранспортёр с двусторонней сброской 2,,замена,0.67,скользящей направляющей
2019-07-18 21:10:00,2019-07-18 21:50:00,ЛСБ,2,Питатель с механизмом сброса 1,,замена звена,0.67,тяговой цепи
2019-07-18 21:10:00,2019-07-18 21:50:00,ЛСБ,2,Питатель с механизмом сброса 1,,замена,0.67,натяжной шпильки
2019-07-19 15:00:00,2019-07-19 15:10:00,ЦСС,18,Пакета-формирующая машина,,направляющий,0.17,во время технологического простоя ролик механизма перемещения вил
2019-07-19 15:00:00,2019-07-19 15:10:00,ЦСС,18,Пакета-формирующая машина,,сварочные работы,0.17,во время технологического простоя работы
2019-07-20 22:15:00,2019-07-20 22:45:00,ЛСБ,6,"Транспортёр отходов цепной, скребковый 2",,замена звена,0.5,срезали скребок тяговой цепи
2019-07-21 08:15:00,2019-07-21 08:40:00,ЛСБ,12,Лесотранспортёр с двусторонней сброской 2,,замена,0.42,гидроцилиндра
2019-07-22 20:30:00,2019-07-22 21:00:00,ЛСБ,2,Питатель с механизмом сброса 1,,замена звена,0.5,тяговой цепи
2019-07-23 10:40:00,2019-07-23 11:20:00,ЛСБ,3,"Транспортёр отходов цепной, скребковый 1",,замена звена,0.67,работа производилась вторым грузовым столом тяговой цепи
2019-07-24 08:00:00,2019-07-24 11:00:00,ЛСБ,3,"Транспортёр отходов цепной, скребковый 1",,сход,3.0,работа производилась вторым грузовым столом тяговых цепей
2019-07-25 08:00:00,2019-07-25 08:25:00,ЛСБ,4,Грузовой стол 2,,замена звена,0.42,тяговой цепи
2019-07-27 20:15:00,2019-07-27 20:30:00,ЦСС,19,Пакетоукладчик 4-х лифтовый,,ограничительный,0.25,упор
2019-07-27 20:15:00,2019-07-27 20:30:00,ЦСС,19,Пакетоукладчик 4-х лифтовый,,сварочные работы,0.25,работы
2019-07-28 08:30:00,2019-07-28 09:20:00,ЛСБ,6,"Транспортёр отходов цепной, скребковый 2",,замена,0.83,скребка
2019-07-29 14:00:00,2019-07-29 16:00:00,,,Кран ЛТ-62,,каретка,2.0,
2019-07-29 14:00:00,2019-07-29 16:00:00,,,Кран ЛТ-62,,сварочные работы,2.0,работы
2019-07-30 18:40:00,2019-07-30 19:00:00,ЦЛП R250,780,Ступенчатый подаватель,,защитная,0.33,панель
2019-07-30 18:40:00,2019-07-30 19:00:00,ЦЛП R250,780,Ступенчатый подаватель,,сварочные работы,0.33,работы
2019-07-31 08:00:00,2019-07-31 08:40:00,ЛСБ,4,Грузовой стол 2,,замена,0.67,работа производилась первым грузовым столом приводной цепи
2019-08-01 12:00:00,2019-08-01 13:00:00,ЦЛП R250,,компрессора ВК 25-8,,замена,1.0,во время технологического простоя фильтрующих элементов
2019-08-01 12:00:00,2019-08-01 13:00:00,ЦЛП R250,,компрессора ВК 25-8,,продувка,1.0,во время технологического простоя радиатора охладителя
2019-08-03 11:00:00,2019-08-03 11:10:00,ЦЛП R250,660,Подаватель досок PLC TongLoader,,замена,0.17,износ ролика опорного ролика
2019-08-05 10:15:00,2019-08-05 10:25:00,ЦЛП R250,360,Скребковый конвейер,,натяжка,0.17,во время работы цеха тяговой цепи
2019-08-08 18:35:00,2019-08-08 18:50:00,ЛСБ,11,Лесотранспортёр с двусторонней сброской 1,,замена,0.25,ролика сбрасывателя
2019-08-09 08:50:00,2019-08-09 09:50:00,ЦСС,19,Пакетоукладчик 4-х лифтовый,,замена,1.0,подшипника натяжной станции
2019-08-10 23:00:00,2019-08-10 23:30:00,ЛСБ,1,Грузовой стол 1,,замена звена,0.5,работа одним грузовым столом приводной цепи
2019-08-12 13:05:00,2019-08-12 13:45:00,ЛСБ,1,Грузовой стол 1,,замена,0.67,работа одним грузовым столом приводной цепи
2019-08-13 08:00:00,2019-08-13 17:00:00,ЦТГ,070,Сушильный барабан,,установка,9.0,во время технологического простоя приводного ролика
2019-08-14 10:40:00,2019-08-14 11:00:00,ЦЛП R250,620,Дуговой конвейер,,замена звена,0.33,тяговой цепи
2019-08-15 08:00:00,2019-08-15 08:20:00,ЛСБ,2,Питатель с механизмом сброса 1,,выравнивание,0.33,толкателей бревна
2019-08-16 13:50:00,2019-08-16 14:15:00,ЛСБ,11,Лесотранспортёр с двусторонней сброской 1,,замена,0.42,пальцев
